Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit,Antal karakterer
Bindslev undervisningssted (Hjørring),3.50675135,3.464384775,3.568750025,3.853035725,3.020952375,5.96257293835617,146
Birkerød Skole (Rudersdal),3.65833716628175,3.697007630485,3.67981438515081,3.98555519124424,3.13533487066975,7.96356379365079,693
Birkhovedskolen (Nyborg),3.46746221338912,3.47863471008403,3.4817927184874,3.83060039330544,2.92340107531381,6.95822345685997,707
Bislev Skole (Aalborg),3.51593591666667,3.40864369565217,3.55208333333333,3.86570052173913,3.22222208333333,,
Bjedstrup Skole (Skanderborg),3.82013891176471,3.67086817647059,3.82352941176471,4.226634,3.40896358823529,,
Bjergby undervisningssted (Hjørring),3.7571124137931,3.61001627586207,3.85344827586207,4.20344827586207,3.227422,6.75519439090909,110
Bjergmarkskolen (Holbæk),3.54043401428571,3.56557784045585,3.65190476285714,3.78584730681819,3.08679528448276,6.66454822392638,652
Bjerregrav Skole (Randers),3.83670547169812,3.74732686792453,3.73584905660377,4.1989517735849,3.47439352830189,6.23575766871166,163
Bjerringbro Skole (Viborg),3.54138494230769,3.54076584154177,3.65316275692964,3.79880867872341,3.10514689787235,6.98504421875,160
Bjørnehøjskolen (Gribskov),3.61376101706485,3.61417416780822,3.6453356109215,3.97550246416383,3.09499345890411,7.53132042592591,756
Blicherskolen (Randers),3.63660218050542,3.57434718115942,3.74127557039711,3.94537704693141,3.20580574275362,6.81135916666666,642
Blovstrød Skole (Allerød),3.6779942974359,3.69970329896908,3.71111111282051,4.01395939593909,3.1466003814433,8.38786438530465,558
"Blåbjergskolen, Lunde-Kvong afdeling (Varde)",3.66809634482759,3.63259427586207,3.71551724137931,3.96551724137931,3.2561575862069,,
"Blåbjergskolen, Nr. Nebel afd. (Varde)",3.58773566028708,3.50891426794259,3.69285714285714,3.91481481428572,3.15224420574163,6.63790621499292,707
"Blåbjergskolen, Outrup afd. (Varde)",3.70348394545455,3.66904743636364,3.58181818181818,3.90707072727273,3.51385276363636,,
Blågård Skole (København),3.52870409852217,3.55535608955224,3.64883913432836,3.82391312807882,3.00475009405941,5.82296094635194,466
Blåhøj Skole (Ikast-Brande),3.23807491304348,3.19772252173913,3.46590909090909,3.56968604347826,2.63419918181818,,
Blåvandshuk Skole (Varde),3.49448541851852,3.47539821851852,3.55833333333333,3.86148295555556,2.95687830370371,6.71074363749999,800
Boesagerskolen (Egedal),3.5264882295082,3.53066800828159,3.59153005327869,3.86339204918033,3.01027028073772,7.704951952,1125
Bogense Skole (Nordfyns),3.38644974545454,3.45646310181818,3.45636363636364,3.74175613454545,2.75582204744525,6.47643935471203,764
Bolderslev Skole (Aabenraa),3.88961306666667,3.74137544444445,3.63518517777778,4.22296297777778,3.72359784444444,,
Boldesager Skole Cosmos (Esbjerg),3.54340723236514,3.5170088625,3.67392808298755,3.953621025,2.91370282572614,7.27469967480916,655
Borbjerg Skole og Børnehus (Holstebro),3.48138114814815,3.42508975471698,3.51388888888889,3.91543209259259,2.91754851851852,,
Bording Skole (Ikast-Brande),3.61421826984127,3.5716615,3.74933599203187,3.937360324,3.12961485258964,6.73895782089551,469
Borgerskolen (Høje-Taastrup),3.42737661036036,3.4970542443439,3.43712462612613,3.7080563557047,2.94106604054055,6.76499879269601,931
Bork Skole (Ringkøbing-Skjern),3.64882848,3.51912684,3.52666668,3.97273479166667,3.3504762,,
Borris Skole (Ringkøbing-Skjern),4.0169615,3.93749984090909,4.03409090909091,4.375,3.58766227272727,,
Borup Skole (Køge),3.46147436245955,3.49688843181818,3.52238403236246,3.82116401941748,2.85791588961039,7.32791408847497,859
Borupgårdskolen (Helsingør),3.47215416766467,3.41836320958084,3.55688622754491,3.78980134131737,3.0262621566265,7.05460275407407,675
Brahesminde Skole (Faaborg-Midtfyn),3.44084116176471,3.42582904477612,3.52083333823529,3.80525792647059,2.89586833823529,,
Bramdrup Skole (Kolding),3.58891434177215,3.63525456329115,3.6782700443038,3.86942566561515,3.0842450221519,6.73993764602683,969
Bramsnæsvigskolen (Lejre),3.53362382233503,3.43929768527919,3.72448979591837,3.86929664285714,3.05414553299493,6.70246757769652,547
Brattingsborgskolen (Viborg),3.81521170212766,3.7188194893617,3.92553191489362,4.13014185106383,3.40901721276596,,
Bredagerskolen (Vejle),3.4838134057971,3.42697688086643,3.61201690942029,3.87935647292419,2.89697203985507,7.22414308054297,1105
Bredebro Filialskole (Tønder),3.5724439137931,3.53437996551724,3.41810344827586,3.84512863793103,3.30197037931035,6.08941955639098,133
"Bredsten-Gadbjerg Skole,  Gadbjerg afdeling (Vejle)",3.5891762,3.52361096666667,3.55833333333333,3.85,3.31333336666667,,
Bredsten-Gadbjerg skole. Bredsten afdeling (Vejle),3.65400580155642,3.61297932684825,3.77626459143969,4.03791612451362,3.08210113618677,7.38354732701422,633
Bregnbjergskolen (Haderslev),3.65540416111111,3.55411308988764,3.88148148333333,3.95757054444444,3.20828044444445,6.70603199579832,238
Bremdal Skole (Struer),3.69454555882353,3.64646451515151,3.72794117647059,4.07327264705882,3.1796536969697,,
Broager Skole (Sønderborg),3.47259745117845,3.46839864864866,3.58782267003367,3.77492276845638,2.98764627946128,7.03356188991888,863
Brobyskolerne (Faaborg-Midtfyn),3.27727534463277,3.25746071022727,3.34517045454545,3.61110219101123,2.7680600625,7.26603997022333,403
Broskolen (Faaborg-Midtfyn),3.46527886461539,3.44732347692308,3.55846153846154,3.82263487116565,2.91474722769231,7.29858492424241,924
Broskolen (Slagelse),3.54032161083744,3.5637011133005,3.58251231527094,3.85829228571429,3.03682223762376,6.03035040459364,566
Brovst Skole (Jammerbugt),3.50453944444445,3.45238246031746,3.61166007509881,3.9046212992126,2.93180875098814,6.64012094289694,718
Brylle Skole (Assens),3.31941233333333,3.31391517777778,3.27651515909091,3.6796296,2.85148151111111,,
Bryndum Skole Aura (Esbjerg),3.42554976356589,3.48480783268482,3.55662805791506,3.80479715057915,2.73453302713178,7.11862946052631,684
Bryrup Skole (Silkeborg),3.46236389473684,3.42661334868421,3.54276315789474,3.85898861842105,2.88884711184211,7.20816056124722,449
Brårup Skole (Skive),3.76104367431192,3.76520302981652,3.83830275229358,4.07930865137615,3.25807666513763,7.1484529791073,1053
"Brædstrup Skole, folkeskoleafdeling (Horsens)",3.34380450199203,3.36461551004016,3.38425925793651,3.65553665476191,2.85575234,6.51192065980795,729
"Brædstrup Skole, specialskoleafdeling (Horsens)",3.18993272727273,3.09415590909091,3.49242427272727,3.30353536363636,2.9642857,,
Brændgårdskolen (Herning),3.65679143274854,3.72612970882353,3.84188660410557,3.89069716034986,3.14489001169591,7.07871070162296,801
Brændkjærskolen (Kolding),3.73026921809745,3.75056610904874,3.81535189327146,4.11368909512762,3.10653377441861,7.14004035214142,1471
